,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,M,171,0.66,0.87,0.36,355.0,404.0,363.0
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,M,465,0.9,0.93,0.7,383.0,423.0,366.0
2,01M450,EAST SIDE COMMUNITY SCHOOL,70.0,M,683,0.92,0.94,0.77,377.0,402.0,370.0
3,01M509,MARTA VALLE HIGH SCHOOL,44.0,M,148,0.74,0.79,0.49,390.0,433.0,384.0
4,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,M,1734,0.97,0.95,0.85,522.0,574.0,525.0
5,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,M,588,0.99,0.95,0.98,624.0,604.0,628.0
6,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,M,165,0.91,0.86,0.62,395.0,400.0,387.0
7,02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,M,378,0.91,0.9,0.67,409.0,393.0,392.0
8,02M294,ESSEX STREET ACADEMY,53.0,M,340,0.83,0.87,0.74,394.0,384.0,378.0
9,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,M,391,0.7,0.82,0.54,374.0,375.0,362.0
10,02M298,PACE HIGH SCHOOL,85.0,M,537,0.86,0.87,0.77,423.0,438.0,432.0
11,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,M,356,0.59,0.83,0.47,404.0,449.0,416.0
12,02M303,"FACING HISTORY SCHOOL, THE",76.0,M,382,0.76,0.82,0.55,353.0,358.0,340.0
13,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,M,307,0.84,0.84,0.61,375.0,388.0,385.0
14,02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,M,329,0.81,0.88,0.58,403.0,392.0,405.0
15,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,M,232,0.75,0.83,0.49,373.0,370.0,384.0
16,02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,M,491,0.81,0.84,0.57,391.0,391.0,394.0
17,02M376,NYC ISCHOOL,92.0,M,457,0.98,0.93,0.91,473.0,483.0,479.0
18,02M392,MANHATTAN BUSINESS ACADEMY,,M,423,0.86,0.87,0.77,nan,nan,nan
19,02M393,BUSINESS OF SPORTS SCHOOL,,M,426,0.82,0.84,0.63,nan,nan,nan
20,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,M,327,0.81,0.82,0.72,nan,nan,nan
21,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,M,1194,0.8,0.85,0.67,465.0,493.0,461.0
22,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,M,492,0.87,0.92,0.75,492.0,465.0,467.0
23,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,M,565,0.93,0.93,0.74,509.0,490.0,523.0
24,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,M,460,1.0,0.97,0.94,496.0,563.0,518.0
25,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114.0,M,498,0.97,0.94,0.87,537.0,590.0,550.0
26,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66.0,M,750,0.99,0.94,0.79,517.0,533.0,515.0
27,02M414,N.Y.C. MUSEUM SCHOOL,103.0,M,450,1.0,0.94,0.9,468.0,492.0,459.0
28,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127.0,M,541,1.0,0.96,0.9,572.0,594.0,592.0
29,02M418,MILLENNIUM HIGH SCHOOL,144.0,M,666,0.99,0.96,0.91,528.0,553.0,533.0
30,02M419,LANDMARK HIGH SCHOOL,62.0,M,348,0.65,0.81,0.36,390.0,399.0,381.0
31,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336.0,M,1819,0.94,0.92,0.72,429.0,449.0,428.0
32,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84.0,M,523,0.7,0.83,0.44,416.0,426.0,391.0
33,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,M,269,0.52,0.86,0.43,nan,nan,nan
34,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,,M,476,0.64,0.79,0.54,nan,nan,nan
35,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,M,360,0.66,0.87,0.52,nan,nan,nan
36,02M439,MANHATTAN VILLAGE ACADEMY,95.0,M,456,0.99,0.98,0.91,441.0,473.0,458.0
37,02M449,VANGUARD HIGH SCHOOL,72.0,M,446,0.74,0.87,0.51,395.0,416.0,388.0
38,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49.0,M,337,0.74,0.89,0.56,376.0,460.0,391.0
39,02M475,STUYVESANT HIGH SCHOOL,832.0,M,3336,0.98,0.97,0.98,679.0,735.0,682.0
40,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167.0,M,738,0.9,0.88,0.82,443.0,489.0,442.0
41,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25.0,M,255,0.77,0.84,0.64,370.0,349.0,351.0
42,02M519,TALENT UNLIMITED HIGH SCHOOL,81.0,M,478,0.97,0.93,0.75,469.0,472.0,475.0
43,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,M,271,0.54,0.83,0.39,407.0,440.0,393.0
44,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131.0,M,567,0.64,0.79,0.46,414.0,425.0,400.0
45,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42.0,M,242,0.96,0.91,0.87,429.0,404.0,420.0
46,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66.0,M,517,0.85,0.92,0.78,336.0,378.0,344.0
47,02M543,NEW DESIGN HIGH SCHOOL,73.0,M,427,0.92,0.86,0.58,391.0,395.0,382.0
48,02M544,INDEPENDENCE HIGH SCHOOL,14.0,M,334,,0.62,,389.0,371.0,335.0
49,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78.0,M,396,1.0,0.98,0.86,412.0,581.0,431.0
50,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77.0,M,534,0.77,0.91,0.57,405.0,423.0,384.0
51,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84.0,M,499,0.68,0.87,0.53,408.0,384.0,403.0
52,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335.0,M,1590,0.93,0.91,0.79,423.0,423.0,411.0
53,02M605,HUMANITIES PREPARATORY ACADEMY,36.0,M,235,,0.85,,426.0,403.0,426.0
54,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83.0,M,430,0.75,0.86,0.57,399.0,418.0,390.0
55,02M630,ART AND DESIGN HIGH SCHOOL,270.0,M,1447,0.85,0.9,0.66,444.0,441.0,430.0
56,02M655,LIFE SCIENCES SECONDARY SCHOOL,61.0,M,574,0.6,0.8,0.47,409.0,424.0,403.0
57,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49.0,M,378,0.67,0.83,0.4,374.0,384.0,374.0
58,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41.0,M,397,0.77,0.84,0.54,384.0,390.0,370.0
59,03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,,M,311,0.83,0.84,0.43,nan,nan,nan
60,03M403,THE GLOBAL LEARNING COLLABORATIVE,,M,436,0.76,0.86,0.6,nan,nan,nan
61,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32.0,M,278,0.75,0.81,0.4,371.0,368.0,370.0
62,03M417,FRANK MCCOURT HIGH SCHOOL,,M,411,0.97,0.93,0.78,nan,nan,nan
63,03M479,BEACON HIGH SCHOOL,261.0,M,1380,1.0,0.96,0.87,577.0,575.0,592.0
64,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531.0,M,2809,0.98,0.95,0.82,566.0,564.0,577.0
65,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66.0,M,466,0.73,0.84,0.63,396.0,398.0,402.0
66,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75.0,M,504,0.74,0.82,0.34,433.0,433.0,411.0
67,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111.0,M,442,0.99,0.97,0.88,473.0,506.0,467.0
68,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43.0,M,354,0.71,0.82,0.39,356.0,379.0,361.0
69,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375.0,M,1625,0.96,0.93,0.8,461.0,514.0,455.0
70,04M495,PARK EAST HIGH SCHOOL,51.0,M,406,0.96,0.94,0.69,373.0,379.0,376.0
71,04M555,CENTRAL PARK EAST HIGH SCHOOL,73.0,M,496,0.97,0.95,0.88,405.0,421.0,395.0
72,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70.0,M,481,1.0,0.94,0.97,432.0,446.0,448.0
73,04M680,"HERITAGE SCHOOL, THE",31.0,M,294,0.73,0.88,0.41,358.0,351.0,345.0
74,05M304,MOTT HALL HIGH SCHOOL,54.0,M,297,0.66,0.8,0.36,413.0,399.0,398.0
75,05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",,M,702,1.0,0.94,0.88,nan,nan,nan
76,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56.0,M,356,0.73,0.81,0.68,360.0,353.0,364.0
77,05M499,FREDERICK DOUGLASS ACADEMY,214.0,M,1362,0.82,0.89,0.59,458.0,474.0,442.0
78,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66.0,M,547,0.81,0.91,0.6,396.0,402.0,404.0
79,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101.0,M,500,0.99,0.96,0.99,605.0,654.0,588.0
80,06M293,CITY COLLEGE ACADEMY OF THE ARTS,60.0,M,602,0.97,0.94,0.88,408.0,446.0,416.0
81,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55.0,M,703,0.79,0.79,0.54,362.0,376.0,367.0
82,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70.0,M,815,0.77,0.84,0.56,380.0,395.0,399.0
83,06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,,M,201,,0.68,,nan,nan,nan
84,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76.0,M,460,0.54,0.85,0.38,365.0,384.0,378.0
85,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63.0,M,408,0.46,0.9,0.35,369.0,380.0,349.0
86,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94.0,M,544,0.73,0.88,0.42,363.0,378.0,361.0
87,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24.0,M,463,0.62,0.87,0.39,400.0,422.0,402.0
88,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228.0,M,1375,0.73,0.84,0.53,430.0,456.0,423.0
89,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56.0,M,524,0.69,0.92,0.49,339.0,349.0,326.0
90,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65.0,X,659,0.96,0.92,0.58,364.0,378.0,348.0
91,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34.0,X,436,0.62,0.89,0.42,310.0,324.0,311.0
92,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43.0,X,330,0.55,0.79,0.53,361.0,359.0,357.0
93,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63.0,X,358,0.53,0.78,0.48,351.0,375.0,371.0
94,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79.0,X,491,0.98,0.93,0.78,403.0,394.0,404.0
95,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66.0,X,508,0.84,0.91,0.77,420.0,426.0,411.0
96,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62.0,X,513,0.73,0.84,0.64,362.0,378.0,363.0
97,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44.0,X,515,0.72,0.77,0.57,387.0,411.0,383.0
98,07X551,BRONX ACADEMY OF LETTERS,51.0,X,590,0.85,0.8,0.43,413.0,381.0,407.0
99,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76.0,X,463,0.8,0.84,0.37,394.0,400.0,364.0
100,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114.0,X,491,0.49,0.77,0.53,363.0,368.0,364.0
101,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,,X,643,0.64,0.84,0.5,nan,nan,nan
102,08X282,WOMEN'S ACADEMY OF EXCELLENCE,44.0,X,281,0.7,0.75,0.42,407.0,386.0,378.0
103,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52.0,X,465,0.7,0.82,0.43,384.0,385.0,389.0
104,08X312,MILLENNIUM ART ACADEMY,67.0,X,432,0.72,0.85,0.44,387.0,402.0,375.0
105,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,X,686,0.63,0.78,0.43,nan,nan,nan
106,08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",,X,404,0.6,0.8,0.39,nan,nan,nan
107,08X405,HERBERT H. LEHMAN HIGH SCHOOL,415.0,X,732,0.59,0.83,0.35,412.0,436.0,393.0
108,08X432,BRONX BRIDGES HIGH SCHOOL,,X,341,0.58,0.81,0.42,nan,nan,nan
109,08X452,BRONX GUILD,39.0,X,553,0.67,0.8,0.36,369.0,371.0,365.0
110,08X530,BANANA KELLY HIGH SCHOOL,54.0,X,199,0.5,0.8,0.29,373.0,381.0,377.0
111,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39.0,X,396,0.67,0.85,0.33,324.0,376.0,349.0
112,09X231,EAGLE ACADEMY FOR YOUNG MEN,78.0,X,511,0.74,0.87,0.64,373.0,387.0,374.0
113,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80.0,X,616,0.86,0.86,0.76,411.0,464.0,415.0
114,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50.0,X,432,0.89,0.85,0.57,393.0,394.0,382.0
115,09X252,MOTT HALL BRONX HIGH SCHOOL,67.0,X,387,0.8,0.85,0.54,369.0,367.0,356.0
116,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81.0,X,463,0.92,0.91,0.75,459.0,480.0,457.0
117,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74.0,X,372,0.64,0.79,0.45,356.0,363.0,356.0
118,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38.0,X,401,0.73,0.84,0.46,386.0,386.0,376.0
119,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,,X,522,0.82,0.85,0.72,nan,nan,nan
120,09X329,DREAMYARD PREPARATORY SCHOOL,51.0,X,266,0.68,0.84,0.33,382.0,365.0,391.0
121,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54.0,X,323,0.96,0.89,0.74,315.0,339.0,297.0
122,09X403,BRONX INTERNATIONAL HIGH SCHOOL,49.0,X,414,0.8,0.8,0.41,314.0,312.0,339.0
123,09X404,SCHOOL FOR EXCELLENCE,32.0,X,375,0.58,0.66,0.35,363.0,360.0,351.0
124,09X412,BRONX HIGH SCHOOL OF BUSINESS,34.0,X,284,0.69,0.82,0.28,356.0,376.0,351.0
125,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64.0,X,433,0.91,0.93,0.83,400.0,419.0,402.0
126,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80.0,X,771,0.85,0.91,0.71,404.0,418.0,402.0
127,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50.0,X,424,0.73,0.76,0.34,368.0,384.0,369.0
128,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114.0,X,583,0.54,0.82,0.44,384.0,394.0,388.0
129,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27.0,X,264,0.67,0.71,0.43,353.0,315.0,371.0
130,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113.0,X,1513,0.92,0.92,0.71,438.0,455.0,440.0
131,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86.0,X,399,0.77,0.82,0.53,373.0,412.0,365.0
132,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59.0,X,608,0.73,0.85,0.65,405.0,391.0,394.0
133,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79.0,X,489,0.57,0.82,0.68,382.0,393.0,382.0
134,10X243,WEST BRONX ACADEMY FOR THE FUTURE,26.0,X,607,0.87,0.84,0.54,382.0,406.0,370.0
135,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52.0,X,470,0.57,0.87,0.32,304.0,356.0,302.0
136,10X284,BRONX SCHOOL OF LAW AND FINANCE,54.0,X,380,0.77,0.8,0.4,402.0,395.0,385.0
137,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49.0,X,523,0.77,0.91,0.47,300.0,333.0,301.0
138,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111.0,X,1003,0.86,0.91,0.78,390.0,408.0,383.0
139,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61.0,X,488,0.91,0.88,0.64,392.0,401.0,387.0
140,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57.0,X,447,0.81,0.82,0.41,370.0,371.0,365.0
141,10X434,BELMONT PREPARATORY HIGH SCHOOL,51.0,X,402,0.92,0.89,0.63,404.0,418.0,400.0
142,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48.0,X,356,0.93,0.91,0.72,355.0,350.0,372.0
143,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63.0,X,342,0.72,0.9,0.32,367.0,385.0,367.0
144,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65.0,X,409,0.85,0.82,0.55,366.0,364.0,352.0
145,10X440,DEWITT CLINTON HIGH SCHOOL,443.0,X,1203,0.5,0.84,0.34,419.0,426.0,410.0
146,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52.0,X,427,0.95,0.91,0.7,423.0,420.0,427.0
147,10X445,BRONX HIGH SCHOOL OF SCIENCE,731.0,X,2995,1.0,0.97,0.98,632.0,688.0,649.0
148,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99.0,X,437,0.9,0.93,0.82,414.0,435.0,414.0
149,10X546,BRONX THEATRE HIGH SCHOOL,68.0,X,389,0.66,0.78,0.46,348.0,362.0,354.0
150,10X549,DISCOVERY HIGH SCHOOL,55.0,X,456,0.8,0.88,0.46,372.0,379.0,364.0
151,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92.0,X,400,0.99,0.97,1.0,636.0,648.0,636.0
152,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74.0,X,315,0.93,0.93,0.87,370.0,381.0,382.0
153,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46.0,X,338,0.67,0.81,0.46,400.0,357.0,390.0
154,11X265,BRONX LAB SCHOOL,81.0,X,399,0.6,0.81,0.41,377.0,391.0,367.0
155,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56.0,X,377,0.65,0.81,0.4,386.0,394.0,361.0
156,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72.0,X,569,0.61,0.87,0.62,381.0,376.0,354.0
157,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97.0,X,616,0.9,0.9,0.81,444.0,471.0,433.0
158,11X290,BRONX ACADEMY OF HEALTH CAREERS,69.0,X,395,0.81,0.88,0.59,387.0,365.0,383.0
159,11X299,ASTOR COLLEGIATE ACADEMY,60.0,X,476,0.8,0.86,0.6,387.0,391.0,391.0
160,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48.0,X,441,0.66,0.84,0.38,419.0,433.0,416.0
161,11X455,HARRY S TRUMAN HIGH SCHOOL,189.0,X,2000,0.76,0.9,0.38,386.0,397.0,368.0
162,11X513,NEW WORLD HIGH SCHOOL,72.0,X,403,0.88,0.93,0.77,332.0,381.0,335.0
163,11X514,THE BRONXWOOD PREPARATORY ACADEMY,48.0,X,405,0.64,0.91,0.39,377.0,372.0,363.0
164,11X542,PELHAM PREPARATORY ACADEMY,76.0,X,501,0.9,0.9,0.68,431.0,438.0,419.0
165,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55.0,X,446,0.75,0.86,0.33,383.0,378.0,365.0
166,11X545,BRONX AEROSPACE HIGH SCHOOL,46.0,X,346,0.68,0.82,0.46,388.0,393.0,382.0
167,12X248,"METROPOLITAN HIGH SCHOOL, THE",49.0,X,411,0.5,0.76,0.43,347.0,367.0,341.0
168,12X251,EXPLORATIONS ACADEMY,57.0,X,351,0.66,0.81,0.37,381.0,381.0,360.0
169,12X267,BRONX LATIN,36.0,X,579,0.96,0.9,0.82,408.0,432.0,411.0
170,12X271,EAST BRONX ACADEMY FOR THE FUTURE,46.0,X,671,0.78,0.79,0.57,366.0,378.0,358.0
171,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30.0,X,478,0.79,0.88,0.59,321.0,351.0,298.0
172,12X478,THE CINEMA SCHOOL,,X,290,0.96,0.89,0.6,nan,nan,nan
173,12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,,X,254,0.43,0.76,0.29,nan,nan,nan
174,12X550,HIGH SCHOOL OF WORLD CULTURES,42.0,X,448,0.39,0.8,0.21,304.0,323.0,312.0
175,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72.0,X,473,0.68,0.8,0.37,342.0,346.0,341.0
176,12X684,WINGS ACADEMY,66.0,X,491,0.53,0.81,0.35,378.0,374.0,362.0
177,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29.0,K,370,0.69,0.76,0.45,352.0,349.0,373.0
178,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52.0,K,221,0.78,0.81,0.6,360.0,364.0,356.0
